# Fused multiply-add sites in MWCC game code (port/tools/fma_scan.py objs).
# file:line function kind count
melee/ft/fighter.c:2209 Fighter_procUpdate fnmsubs 2
melee/ft/fighter.c:2247 Fighter_procUpdate fmadds 1
melee/ft/fighter.c:2247 Fighter_procUpdate fnmsub 3
melee/ft/fighter.c:2263 Fighter_procUpdate fnmsubs 2
melee/ft/fighter.c:2317 Fighter_procUpdate fmadds 2
melee/ft/fighter.c:2833 Fighter_ProcessHit_8006D1EC fmadds 2
melee/ft/fighter.c:3015 Fighter_ProcessHit_8006D1EC fmadds 1
melee/ft/ftCo_800C7590.c:47 ftCo_800C7590 fmadds 2
melee/ft/ftCo_800C78B0.c:49 ftCo_800C78B0 fmadds 2
melee/ft/ftCo_800C7CA0.c:110 fn_800C7DC4 fnmsubs 1
melee/ft/ft_07C1.c:95 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:98 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:101 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:104 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:118 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:121 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:124 ft_8007C2E0 fmadds 1
melee/ft/ft_07C1.c:127 ft_8007C2E0 fmadds 1
melee/ft/ft_084E.c:84 ft_80085030 fmsubs 1
melee/ft/ft_084E.c:133 ft_80085154 fmadds 1
melee/ft/ft_084E.c:133 ft_80085154 fmsubs 1
melee/ft/ft_0899.c:179 ft_80089B08 fmadds 1
melee/ft/ft_0899.c:185 ft_80089B08 fnmsub 3
melee/ft/ft_0899.c:211 ft_80089B08 fmadds 1
melee/ft/ft_0C31.c:123 ftCo_800C6408 fnmsubs 1
melee/ft/ft_0C31.c:149 ftCo_EntryStart_Phys fmadds 1
melee/ft/ft_0C31.c:226 fn_800C69F4 fnmsubs 1
melee/ft/ft_0C31.c:345 fn_800C6F34 fnmsubs 1
melee/ft/ft_0D27.c:141 fn_800D2A3C fmadds 1
melee/ft/ft_0D31.c:667 ftCo_DeadUpStar_Anim fmsubs 1
melee/ft/ft_0D4D.c:116 ftCo_800D4FF4 fmadds 1
melee/ft/ft_0D4D.c:123 ftCo_800D4FF4 fmadds 1
melee/ft/ft_0D4D.c:151 ftCo_800D4FF4 fnmsubs 1
melee/ft/ft_0D4D.c:190 ftCo_Rebirth_Phys fmadds 1
melee/ft/ft_0D4D.c:235 fn_800D54A4 fnmsubs 1
melee/ft/ft_0D4D.c:344 ftCo_RebirthWait_Phys fmadds 1
melee/ft/ft_0DF0.c:39 ftCo_800DEEB8 fmadds 1
melee/ft/ftafterimage.c:150 ftCo_800C2600 fmadds 3
melee/ft/ftafterimage.c:159 ftCo_800C2600 fnmsub 3
melee/ft/ftafterimage.c:190 ftCo_800C2600 fmadds 2
melee/ft/ftafterimage.c:215 ftCo_800C2600 fmadds 9
melee/ft/ftafterimage.c:265 ftCo_800C2600 fmadds 3
melee/ft/ftafterimage.c:312 ftCo_800C2600 fmadds 6
melee/ft/ftbosslib.c:66 ftBossLib_8015BE40 fnmsub 3
melee/ft/ftchangeparam.c:16 ftCo_CalcYScaledKnockback fmadds 1
melee/ft/ftchangeparam.c:19 ftCo_CalcYScaledKnockback fmadds 1
melee/ft/ftchangeparam.c:29 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:31 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:33 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:35 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:37 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:39 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:41 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:43 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:45 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:47 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:49 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:51 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:53 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:55 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:57 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:59 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:61 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:64 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:66 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:69 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:73 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:75 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:76 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:78 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:80 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:82 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:84 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:86 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:88 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:90 ftCo_800CF6E8 fmadds 1
